ID,split
320949925,train
1640266856,train
721332873,train
1555309074,train
1563747740,train
1834231609,train
883477227,train
355045506,train
1735549101,train
522822635,train
624242199,train
1568022833,train
891349109,train
1446216326,train
1613243939,train
1469901808,train
1881273417,train
1130547888,train
2141153369,train
108478019,train
682310250,train
432044521,train
1554122777,train
1690827718,train
939095888,train
221824994,train
391768851,train
989572348,train
1987356233,train
2003229693,train
1544529736,train
570811984,train
323326108,train
198926115,train
1336302907,train
2075158864,train
693636079,train
657975875,train
552869945,train
1868518537,train
1628697979,train
1996006250,train
951040376,train
1372199274,train
946043475,train
608357352,train
344654569,train
466779885,train
1527515832,train
1377400282,train
378164298,train
807023897,train
1225197074,train
595501814,train
1135055075,train
791372675,train
691025940,train
1384166602,train
597791632,train
81657753,train
1002181673,train
1836506417,train
941633983,train
1056936514,train
1327358932,train
2045092311,train
876530557,train
1883106311,train
364772970,train
1905127002,train
457991068,train
2102356742,train
25933674,train
578130592,train
1291415206,train
500497681,train
1240191590,train
761581631,train
750178323,train
603362869,train
1641441594,train
2034354185,train
953065675,train
2060203062,train
222701856,train
1924050634,train
1489257300,train
1607236935,train
1642841018,train
2106731509,train
567117550,train
1219471155,train
567358576,train
195573188,train
253900459,train
2032394402,train
1902003099,train
1495312331,train
671792185,train
200053619,train
729096055,train
798652398,train
1934268003,train
82640581,train
1453256960,train
1732463035,train
1543692388,train
115745884,train
252022849,train
1402370241,train
1045575743,train
2013313956,train
501134291,train
1310798445,train
363909092,train
1976637851,train
257402012,train
545043319,train
872480562,train
1595955309,train
334299249,train
2114889188,train
1078042706,train
1896443740,train
1808091397,train
1840473899,train
1481808582,train
2005103100,train
1379485118,train
1342471148,train
839796483,train
1545623305,train
1420059953,train
1726693876,train
239441588,train
957742294,train
8519697,train
558482235,train
1473814441,train
1683816587,train
2034386418,train
1450966087,train
1747191512,train
1068910427,train
1818337100,train
1362720924,train
579140079,train
1553949192,train
1551206017,train
1924279987,train
560021744,train
1121417808,train
864599833,train
1358770574,train
1170321618,train
203597017,train
1903753110,train
1944626359,train
1134787432,train
66355090,train
1296683482,train
26255061,train
1760350118,train
2116981763,train
1432758142,train
842162357,train
222097659,train
1917728139,train
1901102593,train
1417141610,train
717668699,train
817251296,train
279371712,train
1800122758,train
261722128,train
1365226770,train
327661350,train
357776869,train
237554295,train
2032230034,train
1710907325,train
1427595434,train
979083684,train
1213528342,train
1426651422,train
252427552,train
1891778495,train
1832677522,train
244574953,train
146028738,train
114384906,train
406186904,train
2035675148,train
1228384755,train
2062101734,train
495374818,train
1106236911,train
1117875234,train
30967479,train
1964912724,train
895946070,train
979069959,train
1616271767,train
543504831,train
1682386397,train
1748186303,train
2104025176,train
110829815,train
1416439353,train
1753620454,train
68998280,train
1680173506,train
1493833611,train
1263626076,train
999111664,train
1064203039,train
799234832,train
1917629620,train
1706158613,train
1754887565,train
633307433,train
1849527096,train
2099933071,train
491548661,train
2026775529,train
676739100,train
29695896,train
1523001178,train
524100535,train
1593095886,train
667199301,train
2002740944,train
116042654,train
2038677649,train
350852179,train
1718533823,train
1881609271,train
205733172,train
530831426,train
556059760,train
202966108,train
1994624102,train
1666801253,train
490281014,train
1740540539,train
2048679286,train
1886041401,train
2134189083,train
2076747392,train
1948838927,train
939786263,train
606017598,train
538537828,train
2080098286,train
732270175,train
896120462,train
601719434,train
448589891,train
